IndivID,Name,Source,gwasID,Site,Year,Date,Block,position_X,position_Y,edge,InitLeafLen,Bolting,Score,Holes,Mines,Ps,Pa,Pp,Lc,Px,Pr_e,Pr_l,Ar,Tni,Syrphinae_l,Cv,Fi,Fo,Bh,Er,Mp,Mp_w,Le,Le_w,Bb,Bb_w,Mummy,Al,Cs,leaf_hopper
109,Bay-0,CS22633,6899,ZH,2019,20190710,1,22,8,0,31,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,Dem-4,CS76794,8233,ZH,2019,20190710,1,22,10,1,24,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,DraIII-1,CS76815,8285,ZH,2019,20190710,1,23,1,1,32,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,Kas-2,CS6751,8424,ZH,2019,20190710,1,23,3,0,36,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,Uod-1,CS22612,6975,ZH,2019,20190710,1,23,5,0,30,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Tamm-27,CS22605,6969,ZH,2019,20190710,1,23,7,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Sr:5,CS77268,8386,ZH,2019,20190710,1,23,9,0,34,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,Wa-1,CS22644,6978,ZH,2019,20190710,1,24,2,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Lc-0,CS1307,8323,ZH,2019,20190710,1,24,4,0,35,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,Ove-0,CS1435,7287,ZH,2019,20190710,1,24,6,0,34,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Vinslov,CS78847,9057,ZH,2019,20190710,1,24,8,0,30,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,Wei-0,CS22622,6979,ZH,2019,20190710,1,24,10,1,23,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,Mrk-0,CS22635,6937,ZH,2019,20190710,1,25,1,1,33,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,Shahdara,CS22652,6962,ZH,2019,20190710,1,25,3,0,31,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,Pro-0,CS22649,8213,ZH,2019,20190710,1,25,5,0,33,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,Hi-0,CS1227,8304,ZH,2019,20190710,1,25,7,0,36,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,Na-1,CS1385,8343,ZH,2019,20190710,1,25,9,0,35,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,Col-0,CS22625,6909,ZH,2019,20190710,1,26,2,0,26,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,Uod-7,CS22613,6976,ZH,2019,20190710,1,26,4,0,31,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,Got-22,CS22609,6920,ZH,2019,20190710,1,26,6,0,33,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,Ag-0,CS22630,6897,ZH,2019,20190710,1,26,8,0,26,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,Sq-8,CS22601,6967,ZH,2019,20190710,1,26,10,1,34,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,Per-1,CS1445,8354,ZH,2019,20190710,1,27,1,1,41,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,Ba1-2,CS76676,8256,ZH,2019,20190710,1,27,3,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,Ws-0,CS22623,6980,ZH,2019,20190710,1,27,5,0,26,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,Rubezhnoe-1,CS927,7323,ZH,2019,20190710,1,27,7,0,34,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,Lip-0,CS1337,8325,ZH,2019,20190710,1,27,9,0,35,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,Lov-1,CS77049,6043,ZH,2019,20190710,1,28,2,0,20,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
